site_id,therapeutic_area,indication,planned_start_date,site_startup_days,fpi_date,enrollment_months,target_enrollment,actual_enrollment,avg_enroll_rate_per_month,screen_fail_rate,protocol_deviation_rate,data_entry_lag_days,retention_rate,competing_trials_same_ta
SITE1041,Endocrinology,T2D,2020-05-23,53,2020-07-15,14,14,12,1.98,0.22,0.05,4,0.96,3
SITE1041,Oncology,CRC,2018-11-06,55,2018-12-31,7,24,18,2.71,0.23,0.06,8,0.78,2
SITE1041,Oncology,Breast Cancer,2018-11-23,47,2019-01-09,17,17,11,0.73,0.29,0.05,5,0.95,2
SITE1041,Endocrinology,Obesity,2024-12-04,100,2025-03-14,11,51,46,4.37,0.26,0.05,6,0.83,2
SITE1041,Oncology,Prostate,2018-09-04,64,2018-11-07,7,8,11,0.69,0.22,0.1,7,0.8,3
SITE1042,Oncology,Breast Cancer,2018-05-31,74,2018-08-13,8,52,40,7.51,0.24,0.03,3,0.9,1
SITE1042,Neurology,MS,2017-12-28,70,2018-03-08,9,52,49,4.97,0.04,0.03,8,0.99,2
SITE1042,Cardiology,AF,2019-06-17,74,2019-08-30,15,20,17,2.46,0.2,0.07,4,0.99,3
SITE1042,Oncology,NSCLC,2021-05-07,65,2021-07-11,12,49,51,3.76,0.36,0.01,9,0.82,0
SITE1042,Neurology,MS,2019-02-15,43,2019-03-30,6,47,53,8.33,0.27,0.04,2,0.9,0
SITE1042,Oncology,Breast Cancer,2021-02-07,75,2021-04-23,9,36,34,4.99,0.21,0.09,1,0.86,4
SITE1043,Oncology,Breast Cancer,2023-07-30,28,2023-08-27,12,9,7,0.86,0.11,0.05,3,0.79,0
SITE1043,Endocrinology,T2D,2024-04-16,53,2024-06-08,5,30,29,5.94,0.32,0.05,10,0.95,4
SITE1043,Oncology,Melanoma,2019-11-15,71,2020-01-25,8,50,46,6.77,0.21,0.02,4,0.82,1
SITE1043,Endocrinology,T2D,2021-09-19,77,2021-12-05,9,6,0,0.79,0.09,0.06,6,0.87,0
SITE1043,Oncology,Breast Cancer,2022-12-18,94,2023-03-22,11,9,2,0.75,0.24,0.05,2,0.69,2
SITE1043,Neurology,MS,2018-02-07,54,2018-04-02,10,24,19,3.05,0.18,0.05,10,0.83,2
SITE1044,Oncology,Breast Cancer,2021-05-20,70,2021-07-29,5,28,30,4.48,0.16,0.05,5,0.96,3
SITE1044,Oncology,Melanoma,2022-03-26,61,2022-05-26,10,50,56,6.07,0.1,0.06,6,0.91,4
SITE1044,Oncology,CRC,2017-05-28,90,2017-08-26,9,54,48,5.11,0.11,0.03,3,0.74,1
SITE1044,Cardiology,HF,2017-03-30,51,2017-05-20,14,56,45,3.02,0.24,0.1,4,0.86,2
SITE1044,Cardiology,ACS,2017-03-19,79,2017-06-06,4,19,22,3.0,0.29,0.05,5,0.88,4
SITE1045,Cardiology,AF,2021-07-08,91,2021-10-07,13,58,51,4.94,0.4,0.1,5,0.99,2
SITE1045,Oncology,NSCLC,2018-09-21,36,2018-10-27,11,57,48,5.67,0.24,0.05,4,0.96,3
SITE1045,Oncology,Breast Cancer,2024-02-08,59,2024-04-07,11,39,37,3.49,0.21,0.01,7,0.88,1
SITE1045,Oncology,Melanoma,2018-04-08,64,2018-06-11,16,27,31,1.81,0.13,0.02,2,0.93,3
SITE1045,Oncology,NSCLC,2022-03-26,82,2022-06-16,18,57,50,4.32,0.16,0.06,1,0.99,3
SITE1045,Oncology,Melanoma,2018-05-25,54,2018-07-18,13,42,38,3.31,0.15,0.04,4,0.73,1
SITE1045,Cardiology,AF,2021-05-28,64,2021-07-31,5,20,21,2.76,0.23,0.01,2,0.83,1
SITE1045,Oncology,NSCLC,2019-05-12,79,2019-07-30,9,42,40,5.12,0.09,0.04,1,0.97,2
SITE1045,Endocrinology,T2D,2023-06-16,32,2023-07-18,15,38,37,3.17,0.2,0.05,6,0.85,3
SITE1045,Oncology,NSCLC,2024-02-10,28,2024-03-09,16,44,42,3.65,0.31,0.01,3,0.99,1
SITE1046,Oncology,NSCLC,2018-02-19,56,2018-04-16,3,15,14,4.91,0.16,0.0,6,0.92,0
SITE1046,Oncology,Melanoma,2018-08-20,80,2018-11-08,7,17,11,2.71,0.18,0.06,7,0.9,4
SITE1046,Endocrinology,Obesity,2024-09-02,68,2024-11-09,15,17,23,0.82,0.12,0.05,9,0.82,3
SITE1047,Oncology,Prostate,2021-02-19,43,2021-04-03,12,46,47,4.14,0.15,0.1,10,0.78,1
SITE1047,Oncology,Prostate,2020-01-30,74,2020-04-13,10,32,26,3.29,0.24,0.03,4,0.78,3
SITE1047,Cardiology,HF,2017-09-05,45,2017-10-20,12,24,27,1.67,0.11,0.07,8,0.93,2
SITE1047,Oncology,Melanoma,2018-09-30,78,2018-12-17,9,43,40,5.13,0.29,0.02,6,0.94,1
SITE1047,Endocrinology,T2D,2020-06-22,71,2020-09-01,5,34,20,6.43,0.31,0.1,9,0.86,2
SITE1047,Neurology,Epilepsy,2021-03-06,81,2021-05-26,8,20,18,3.29,0.2,0.05,6,0.81,3
SITE1047,Endocrinology,T2D,2023-12-02,54,2024-01-25,8,18,18,3.69,0.14,0.0,4,0.99,4
SITE1047,Oncology,Melanoma,2021-08-06,62,2021-10-07,4,22,16,5.24,0.22,0.05,2,0.76,2
SITE1047,Oncology,NSCLC,2020-02-24,113,2020-06-16,13,53,46,4.48,0.18,0.06,12,0.87,2
SITE1047,Endocrinology,Obesity,2018-12-04,78,2019-02-20,8,37,23,4.61,0.16,0.05,5,0.79,1
SITE1048,Oncology,Prostate,2024-01-03,78,2024-03-21,3,52,56,10.0,0.1,0.02,2,0.89,1
SITE1048,Neurology,MS,2018-04-16,66,2018-06-21,11,33,35,2.35,0.19,0.02,5,0.83,0
SITE1048,Endocrinology,T2D,2018-03-14,75,2018-05-28,15,23,22,2.43,0.11,0.04,4,0.95,0
SITE1048,Oncology,Prostate,2020-05-18,50,2020-07-07,10,22,28,2.28,0.3,0.07,6,0.97,2
SITE1048,Cardiology,HF,2019-08-06,50,2019-09-25,8,23,25,3.02,0.16,0.05,9,0.98,3
SITE1049,Oncology,Prostate,2020-05-26,55,2020-07-20,16,39,27,2.31,0.12,0.0,3,0.86,4
SITE1049,Oncology,NSCLC,2024-10-26,28,2024-11-23,10,18,17,1.64,0.16,0.08,6,0.83,0
SITE1049,Cardiology,HF,2017-09-13,50,2017-11-02,6,43,44,7.19,0.18,0.02,9,0.8,4
SITE1049,Oncology,NSCLC,2018-01-09,85,2018-04-04,6,18,15,3.43,0.24,0.09,5,0.9,2
SITE1050,Endocrinology,Obesity,2020-08-13,49,2020-10-01,9,30,21,3.83,0.21,0.11,2,0.89,3
SITE1050,Endocrinology,T2D,2018-01-25,74,2018-04-09,8,30,29,5.14,0.2,0.04,7,0.86,3
SITE1050,Cardiology,ACS,2019-11-29,39,2020-01-07,14,54,46,3.97,0.07,0.06,4,0.8,3
SITE1050,Cardiology,HF,2022-12-23,82,2023-03-15,4,17,17,4.8,0.13,0.01,7,0.75,3
SITE1050,Oncology,Melanoma,2021-01-29,71,2021-04-10,5,50,52,9.52,0.19,0.02,9,0.73,1
SITE1051,Oncology,NSCLC,2018-12-25,59,2019-02-22,16,53,57,3.51,0.33,0.05,11,0.99,1
SITE1051,Oncology,CRC,2022-12-20,62,2023-02-20,7,58,53,7.01,0.18,0.06,3,0.99,1
SITE1051,Oncology,Prostate,2017-04-20,62,2017-06-21,12,38,36,3.29,0.13,0.06,7,0.8,2
SITE1051,Oncology,Melanoma,2024-11-29,77,2025-02-14,15,59,62,4.47,0.03,0.03,2,0.87,2
SITE1051,Oncology,NSCLC,2017-05-16,85,2017-08-09,12,13,8,1.61,0.03,0.07,4,0.84,2
SITE1051,Oncology,CRC,2018-04-14,68,2018-06-21,9,34,33,4.01,0.19,0.06,6,0.88,4
SITE1051,Oncology,Breast Cancer,2018-04-15,80,2018-07-04,5,25,30,5.2,0.11,0.03,10,0.8,0
SITE1051,Oncology,NSCLC,2019-01-11,75,2019-03-27,3,59,61,10.0,0.24,0.0,3,0.83,2
SITE1051,Oncology,Melanoma,2019-07-01,46,2019-08-16,12,7,10,1.3,0.11,0.07,7,0.81,1
SITE1051,Cardiology,HF,2020-07-25,84,2020-10-17,17,59,66,3.53,0.13,0.07,5,0.79,0
SITE1052,Oncology,Breast Cancer,2021-08-06,86,2021-10-31,17,22,14,1.29,0.22,0.02,7,0.92,0
SITE1052,Endocrinology,T2D,2020-02-23,96,2020-05-29,6,11,9,1.79,0.26,0.02,8,0.88,1
SITE1052,Oncology,Melanoma,2021-03-12,82,2021-06-02,3,13,13,4.77,0.15,0.01,5,0.83,3
SITE1052,Oncology,Prostate,2019-09-21,73,2019-12-03,3,41,38,10.0,0.2,0.01,12,0.95,0
SITE1052,Neurology,Epilepsy,2024-03-15,63,2024-05-17,10,54,46,5.91,0.07,0.02,8,0.76,4
SITE1052,Cardiology,ACS,2024-10-28,63,2024-12-30,15,41,39,2.81,0.2,0.03,0,0.75,0
SITE1052,Oncology,Prostate,2024-08-16,87,2024-11-11,17,57,56,2.41,0.11,0.06,1,0.92,3
SITE1053,Oncology,Breast Cancer,2023-08-24,56,2023-10-19,9,11,10,1.01,0.27,0.05,5,0.95,1
SITE1053,Neurology,Epilepsy,2024-08-15,34,2024-09-18,4,33,35,8.02,0.2,0.08,6,0.88,4
SITE1053,Oncology,Prostate,2017-06-12,51,2017-08-02,13,14,15,1.46,0.16,0.09,4,0.75,3
SITE1053,Neurology,Epilepsy,2023-03-13,58,2023-05-10,3,10,7,3.44,0.25,0.07,2,0.94,1
SITE1053,Oncology,CRC,2022-09-06,48,2022-10-24,14,49,41,4.2,0.17,0.01,5,0.99,0
SITE1053,Oncology,Prostate,2017-02-13,86,2017-05-10,7,53,48,8.31,0.33,0.07,3,0.91,1
SITE1053,Oncology,Melanoma,2024-05-15,75,2024-07-29,14,44,45,1.93,0.13,0.03,8,0.96,3
SITE1054,Oncology,Breast Cancer,2022-01-16,97,2022-04-23,9,15,15,1.54,0.26,0.01,3,0.96,4
SITE1054,Oncology,Melanoma,2022-02-03,58,2022-04-02,6,28,27,4.5,0.28,0.11,3,0.88,3
SITE1054,Oncology,Breast Cancer,2024-04-26,77,2024-07-12,12,29,34,1.69,0.17,0.02,3,0.82,4
SITE1054,Endocrinology,T2D,2024-02-20,50,2024-04-10,14,24,16,0.2,0.09,0.08,7,0.94,4
SITE1054,Oncology,Prostate,2020-01-17,77,2020-04-03,3,13,14,4.43,0.23,0.07,8,0.99,3
SITE1055,Oncology,Prostate,2023-02-08,80,2023-04-29,13,27,20,1.45,0.24,0.02,3,0.94,0
SITE1055,Endocrinology,T2D,2020-03-27,47,2020-05-13,8,59,54,8.63,0.32,0.03,4,0.93,3
SITE1055,Oncology,Melanoma,2019-09-29,80,2019-12-18,6,27,28,4.53,0.08,0.05,10,0.93,0
SITE1055,Neurology,MS,2018-10-07,40,2018-11-16,17,28,28,1.87,0.25,0.05,6,0.96,2
SITE1055,Oncology,Melanoma,2022-04-06,63,2022-06-08,8,46,46,5.92,0.24,0.11,7,0.82,0
SITE1055,Neurology,MS,2024-05-04,101,2024-08-13,11,35,36,3.76,0.27,0.06,3,0.96,4
SITE1055,Oncology,Prostate,2017-04-21,126,2017-08-25,11,41,39,3.62,0.06,0.1,2,0.95,1
SITE1056,Oncology,NSCLC,2019-08-25,58,2019-10-22,14,28,28,0.85,0.14,0.03,0,0.84,0
SITE1056,Oncology,NSCLC,2020-07-21,95,2020-10-24,10,40,40,4.32,0.21,0.05,6,0.95,3
SITE1056,Oncology,Breast Cancer,2023-06-26,49,2023-08-14,6,43,45,7.61,0.13,0.09,5,0.8,0
SITE1056,Cardiology,AF,2017-07-29,66,2017-10-03,14,49,44,4.59,0.28,0.09,0,0.98,4
SITE1056,Cardiology,AF,2022-07-25,95,2022-10-28,11,42,42,4.14,0.21,0.0,2,0.91,4
SITE1056,Neurology,Epilepsy,2021-01-18,93,2021-04-21,7,18,8,2.72,0.23,0.09,4,0.99,0
SITE1056,Neurology,Epilepsy,2019-11-29,60,2020-01-28,5,57,40,10.0,0.33,0.12,7,0.99,3
SITE1056,Oncology,CRC,2022-09-02,90,2022-12-01,4,10,10,2.28,0.35,0.08,2,0.84,3
SITE1057,Neurology,MS,2020-01-06,68,2020-03-14,11,54,52,4.51,0.03,0.0,2,0.83,2
SITE1057,Cardiology,ACS,2021-09-02,115,2021-12-26,15,40,37,2.67,0.29,0.0,8,0.94,0
SITE1057,Oncology,CRC,2022-02-03,84,2022-04-28,8,53,54,7.73,0.23,0.02,7,0.86,1
SITE1057,Oncology,CRC,2020-11-30,84,2021-02-22,5,51,51,10.0,0.24,0.04,12,0.79,0
SITE1057,Oncology,Melanoma,2020-03-10,71,2020-05-20,6,20,19,2.93,0.26,0.06,3,0.75,3
SITE1058,Oncology,NSCLC,2019-05-02,53,2019-06-24,7,59,51,7.76,0.15,0.05,8,0.88,2
SITE1058,Endocrinology,Obesity,2023-03-20,51,2023-05-10,6,57,50,10.0,0.23,0.06,1,0.9,1
SITE1058,Endocrinology,T2D,2024-04-15,88,2024-07-12,11,55,51,5.12,0.22,0.07,5,0.99,4
SITE1058,Cardiology,AF,2021-12-31,39,2022-02-08,11,15,11,1.16,0.3,0.03,1,0.99,3
SITE1058,Cardiology,AF,2017-05-25,85,2017-08-18,12,22,21,1.99,0.24,0.03,7,0.7,0
SITE1058,Endocrinology,T2D,2020-03-24,100,2020-07-02,17,31,21,1.47,0.16,0.08,10,0.84,4
SITE1058,Endocrinology,T2D,2024-10-31,66,2025-01-05,12,43,47,2.95,0.13,0.01,5,0.92,1
SITE1058,Neurology,Epilepsy,2020-07-23,49,2020-09-10,10,21,28,2.78,0.05,0.0,8,0.9,2
SITE1058,Oncology,NSCLC,2023-03-04,72,2023-05-15,11,28,30,2.51,0.16,0.0,4,0.79,1
SITE1058,Cardiology,HF,2022-12-01,81,2023-02-20,9,10,9,2.09,0.21,0.02,12,0.94,0
SITE1058,Oncology,Prostate,2018-12-29,79,2019-03-18,10,43,34,4.68,0.09,0.06,7,0.87,1
SITE1058,Oncology,NSCLC,2017-02-15,62,2017-04-18,11,57,51,5.88,0.12,0.07,5,0.88,3
SITE1059,Oncology,CRC,2019-09-02,64,2019-11-05,8,5,12,0.2,0.23,0.03,8,0.85,3
SITE1059,Oncology,Prostate,2021-05-04,51,2021-06-24,10,37,34,3.88,0.17,0.07,3,0.79,1
SITE1059,Neurology,MS,2018-08-19,88,2018-11-15,11,16,17,1.23,0.11,0.07,4,0.9,0
SITE1059,Endocrinology,T2D,2021-11-23,74,2022-02-05,11,22,19,1.44,0.2,0.12,9,0.82,0
SITE1059,Neurology,MS,2022-09-19,49,2022-11-07,7,15,8,1.75,0.03,0.01,0,0.99,1
SITE1060,Oncology,Melanoma,2023-03-10,96,2023-06-14,7,30,28,4.37,0.33,0.06,11,0.78,2
SITE1060,Endocrinology,T2D,2019-05-13,77,2019-07-29,9,6,4,1.96,0.24,0.07,7,0.74,3
SITE1060,Oncology,Breast Cancer,2019-02-25,86,2019-05-22,9,52,55,4.56,0.06,0.03,6,0.85,0
SITE1060,Oncology,CRC,2017-01-11,55,2017-03-07,16,30,27,1.24,0.25,0.05,2,0.81,0
SITE1061,Oncology,Prostate,2021-12-20,45,2022-02-03,15,41,42,2.77,0.17,0.01,4,0.86,3
SITE1061,Oncology,Breast Cancer,2020-07-21,52,2020-09-11,11,19,17,2.36,0.25,0.01,7,0.77,0
SITE1061,Oncology,Melanoma,2022-09-06,35,2022-10-11,8,50,53,7.42,0.35,0.01,4,0.79,1
SITE1061,Endocrinology,Obesity,2020-12-30,67,2021-03-07,14,21,14,1.87,0.14,0.07,1,0.86,0
SITE1061,Endocrinology,Obesity,2024-07-15,86,2024-10-09,9,31,25,3.45,0.43,0.06,4,0.74,1
SITE1061,Oncology,CRC,2020-05-02,65,2020-07-06,7,39,35,5.27,0.26,0.01,4,0.77,0
SITE1061,Oncology,CRC,2019-02-10,64,2019-04-15,7,39,28,4.44,0.23,0.08,10,0.96,3
SITE1061,Oncology,Breast Cancer,2024-01-13,60,2024-03-13,12,39,47,4.16,0.35,0.07,9,0.82,3
SITE1061,Cardiology,HF,2020-02-21,68,2020-04-29,14,12,6,2.14,0.13,0.09,9,0.99,0
SITE1061,Oncology,Melanoma,2022-04-14,59,2022-06-12,3,57,49,10.0,0.2,0.07,9,0.81,3
SITE1061,Oncology,Breast Cancer,2019-01-06,80,2019-03-27,17,13,17,0.61,0.15,0.07,4,0.91,1
SITE1062,Oncology,CRC,2022-05-12,88,2022-08-08,6,23,24,3.58,0.25,0.08,8,0.99,4
SITE1062,Oncology,NSCLC,2023-05-10,79,2023-07-28,13,18,16,1.73,0.29,0.06,4,0.86,1
SITE1062,Oncology,NSCLC,2018-03-17,75,2018-05-31,8,53,46,6.89,0.17,0.05,5,0.99,1
SITE1062,Oncology,CRC,2018-12-07,85,2019-03-02,14,7,0,0.59,0.15,0.02,8,0.85,3
SITE1062,Oncology,Breast Cancer,2022-04-30,71,2022-07-10,9,52,48,5.81,0.12,0.04,11,0.88,3
SITE1062,Oncology,Prostate,2023-05-19,58,2023-07-16,12,32,28,2.68,0.15,0.03,7,0.77,1
SITE1063,Endocrinology,T2D,2022-05-02,101,2022-08-11,11,27,26,3.81,0.29,0.07,5,0.9,3
SITE1063,Oncology,Breast Cancer,2017-09-25,33,2017-10-28,11,28,21,3.36,0.22,0.05,4,0.99,3
SITE1063,Oncology,NSCLC,2020-11-20,67,2021-01-26,8,18,13,3.07,0.24,0.05,3,0.81,2
SITE1063,Cardiology,AF,2020-12-18,98,2021-03-26,12,43,42,3.34,0.19,0.04,9,0.85,1
SITE1063,Oncology,Prostate,2017-04-07,99,2017-07-15,8,29,27,3.52,0.34,0.07,5,0.99,1
SITE1063,Endocrinology,T2D,2023-03-24,94,2023-06-26,9,22,19,3.21,0.27,0.08,9,0.98,4
SITE1064,Cardiology,ACS,2019-01-15,85,2019-04-10,3,15,10,4.89,0.2,0.03,4,0.88,4
SITE1064,Oncology,Melanoma,2017-12-05,83,2018-02-26,10,21,24,2.85,0.23,0.08,2,0.98,2
SITE1064,Endocrinology,Obesity,2018-01-02,68,2018-03-11,6,19,19,2.58,0.24,0.02,11,0.89,0
SITE1064,Endocrinology,Obesity,2023-06-02,36,2023-07-08,4,45,38,10.0,0.38,0.03,6,0.94,3
SITE1064,Endocrinology,T2D,2022-11-05,39,2022-12-14,14,25,25,0.8,0.27,0.05,1,0.83,0
SITE1064,Neurology,Epilepsy,2024-07-14,70,2024-09-22,7,23,24,3.69,0.16,0.06,3,0.89,1
SITE1065,Oncology,Melanoma,2020-03-28,76,2020-06-12,6,10,5,1.99,0.2,0.05,4,0.77,1
SITE1065,Oncology,CRC,2018-02-15,91,2018-05-17,3,14,15,4.78,0.04,0.0,1,0.99,3
SITE1065,Endocrinology,T2D,2023-11-07,48,2023-12-25,9,32,20,4.02,0.21,0.01,9,0.99,4
SITE1065,Cardiology,ACS,2021-06-22,75,2021-09-05,19,28,31,1.08,0.09,0.02,3,0.96,3
SITE1066,Neurology,Epilepsy,2024-03-21,83,2024-06-12,8,13,17,2.34,0.09,0.04,4,0.94,0
SITE1066,Endocrinology,T2D,2022-11-07,50,2022-12-27,7,55,46,8.05,0.32,0.04,3,0.86,2
SITE1066,Oncology,Melanoma,2024-10-07,83,2024-12-29,5,42,47,7.28,0.11,0.01,6,0.83,4
SITE1066,Cardiology,HF,2022-05-03,83,2022-07-25,15,59,61,3.02,0.25,0.1,4,0.91,2
SITE1066,Neurology,Epilepsy,2019-04-01,31,2019-05-02,15,39,36,1.56,0.25,0.06,9,0.95,3
SITE1066,Oncology,Breast Cancer,2024-07-06,31,2024-08-06,11,13,15,1.15,0.33,0.05,5,0.81,2
SITE1067,Oncology,CRC,2019-03-20,62,2019-05-21,18,21,20,0.61,0.27,0.03,6,0.99,4
SITE1067,Oncology,Prostate,2022-07-04,82,2022-09-24,3,51,53,10.0,0.34,0.02,7,0.9,3
SITE1067,Neurology,Epilepsy,2024-04-06,77,2024-06-22,9,34,29,4.03,0.1,0.07,14,0.97,3
SITE1067,Neurology,MS,2023-08-02,52,2023-09-23,12,10,15,0.72,0.14,0.06,7,0.99,0
SITE1067,Oncology,Melanoma,2021-12-21,39,2022-01-29,9,5,6,1.17,0.15,0.08,2,0.81,0
SITE1068,Oncology,NSCLC,2022-02-07,77,2022-04-25,7,19,22,4.27,0.16,0.07,8,0.9,3
SITE1068,Neurology,Epilepsy,2021-02-06,37,2021-03-15,7,15,11,1.99,0.32,0.07,5,0.86,0
SITE1068,Oncology,NSCLC,2024-05-24,73,2024-08-05,7,48,46,6.55,0.11,0.08,8,0.97,1
SITE1068,Oncology,NSCLC,2023-06-26,73,2023-09-07,5,24,23,5.19,0.17,0.02,5,0.99,1
SITE1068,Oncology,Prostate,2023-10-13,60,2023-12-12,12,47,37,4.43,0.33,0.03,1,0.7,3
SITE1069,Cardiology,AF,2017-08-18,76,2017-11-02,12,8,9,1.27,0.2,0.05,5,0.88,1
SITE1069,Neurology,Epilepsy,2024-06-15,38,2024-07-23,5,42,36,8.75,0.22,0.03,7,0.83,3
SITE1069,Cardiology,ACS,2021-01-16,73,2021-03-30,8,43,40,5.3,0.18,0.0,3,0.92,3
SITE1069,Endocrinology,T2D,2018-08-09,87,2018-11-04,10,27,25,3.52,0.08,0.08,5,0.9,1
SITE1070,Cardiology,ACS,2017-06-16,81,2017-09-05,9,30,32,3.16,0.14,0.08,6,0.99,2
SITE1070,Oncology,Melanoma,2022-06-17,84,2022-09-09,9,14,16,1.25,0.19,0.02,6,0.99,2
SITE1070,Cardiology,AF,2023-12-02,83,2024-02-23,11,58,49,5.49,0.25,0.08,6,0.99,0
SITE1070,Cardiology,HF,2021-03-01,64,2021-05-04,14,51,44,3.39,0.14,0.03,3,0.99,1
SITE1070,Oncology,Prostate,2021-02-08,60,2021-04-09,10,22,23,2.5,0.09,0.06,0,0.99,3
SITE1070,Oncology,NSCLC,2022-06-23,38,2022-07-31,9,38,36,4.88,0.21,0.04,4,0.86,2
SITE1070,Oncology,Prostate,2018-07-01,72,2018-09-11,10,27,23,2.34,0.38,0.01,6,0.83,2
SITE1071,Oncology,CRC,2024-08-18,63,2024-10-20,11,7,5,0.5,0.2,0.04,2,0.84,2
SITE1071,Oncology,NSCLC,2023-09-23,72,2023-12-04,7,56,51,8.01,0.03,0.05,4,0.86,3
SITE1071,Neurology,MS,2024-01-28,42,2024-03-10,9,23,18,2.2,0.15,0.07,2,0.94,3
SITE1071,Oncology,NSCLC,2021-11-27,110,2022-03-17,10,57,56,6.75,0.23,0.02,11,0.78,3
SITE1071,Oncology,CRC,2019-10-09,98,2020-01-15,8,30,26,4.78,0.19,0.01,6,0.9,2
SITE1071,Oncology,Prostate,2024-12-03,80,2025-02-21,3,12,14,4.35,0.28,0.07,7,0.89,4
SITE1072,Oncology,CRC,2023-07-17,73,2023-09-28,15,34,31,2.11,0.11,0.08,2,0.88,1
SITE1072,Cardiology,ACS,2018-05-02,60,2018-07-01,6,39,31,6.92,0.24,0.06,9,0.9,3
SITE1072,Oncology,Prostate,2022-05-14,103,2022-08-25,6,16,22,3.06,0.32,0.06,7,0.85,4
SITE1072,Endocrinology,Obesity,2017-10-16,54,2017-12-09,3,30,27,10.0,0.35,0.04,1,0.73,3
SITE1073,Endocrinology,T2D,2020-05-08,91,2020-08-07,5,25,25,5.23,0.19,0.06,6,0.81,4
SITE1073,Oncology,NSCLC,2021-03-19,28,2021-04-16,9,54,54,6.09,0.24,0.02,5,0.84,2
SITE1073,Oncology,Breast Cancer,2021-10-04,74,2021-12-17,12,48,41,4.2,0.15,0.02,5,0.68,0
SITE1073,Oncology,Prostate,2021-07-16,65,2021-09-19,13,41,33,2.57,0.15,0.05,7,0.78,3
SITE1073,Oncology,Melanoma,2018-06-03,81,2018-08-23,8,11,10,2.12,0.29,0.1,11,0.87,0
SITE1073,Endocrinology,T2D,2023-06-13,64,2023-08-16,8,7,5,0.2,0.22,0.01,3,0.85,2
SITE1073,Oncology,Breast Cancer,2022-10-09,68,2022-12-16,7,19,20,0.96,0.24,0.08,2,0.99,0
SITE1074,Oncology,NSCLC,2022-09-23,79,2022-12-11,9,36,32,4.97,0.12,0.01,8,0.92,1
SITE1074,Oncology,Breast Cancer,2022-09-09,52,2022-10-31,9,32,31,4.21,0.15,0.08,7,0.9,3
SITE1074,Cardiology,HF,2017-09-07,62,2017-11-08,13,21,18,1.13,0.33,0.04,2,0.75,3
SITE1074,Oncology,CRC,2023-10-10,58,2023-12-07,7,18,21,1.77,0.25,0.1,3,0.83,4
SITE1074,Oncology,Prostate,2021-01-25,89,2021-04-24,9,36,31,3.66,0.23,0.0,9,0.8,3
SITE1074,Oncology,Prostate,2018-03-25,61,2018-05-25,9,7,9,0.2,0.17,0.1,4,0.87,1
SITE1074,Oncology,Breast Cancer,2019-03-11,48,2019-04-28,12,15,9,0.76,0.2,0.05,9,0.78,4
SITE1074,Neurology,Epilepsy,2017-09-30,83,2017-12-22,13,7,14,0.84,0.21,0.08,2,0.99,0
SITE1074,Oncology,Prostate,2018-06-15,104,2018-09-27,9,52,51,5.47,0.2,0.03,7,0.93,3
SITE1075,Neurology,MS,2018-02-22,72,2018-05-05,10,43,50,4.23,0.17,0.05,11,0.84,0
SITE1075,Oncology,CRC,2022-03-25,67,2022-05-31,10,58,61,5.75,0.21,0.09,2,0.91,1
SITE1075,Oncology,Prostate,2023-04-25,45,2023-06-09,9,13,13,1.2,0.43,0.06,1,0.86,3
SITE1075,Oncology,CRC,2022-10-01,62,2022-12-02,8,52,50,6.1,0.22,0.04,5,0.91,4
SITE1075,Oncology,CRC,2022-02-24,38,2022-04-03,6,11,10,2.67,0.2,0.1,5,0.81,2
SITE1075,Oncology,CRC,2022-03-11,66,2022-05-16,13,52,49,4.58,0.33,0.0,6,0.86,1
SITE1075,Oncology,NSCLC,2020-07-27,74,2020-10-09,9,7,0,0.24,0.14,0.06,5,0.9,1
SITE1076,Cardiology,ACS,2019-10-03,39,2019-11-11,7,19,22,3.8,0.27,0.08,6,0.82,4
SITE1076,Oncology,NSCLC,2017-03-17,60,2017-05-16,3,7,0,2.04,0.12,0.07,7,0.92,2
SITE1076,Oncology,Melanoma,2024-04-24,69,2024-07-02,6,51,54,9.25,0.26,0.03,6,0.82,0
SITE1076,Oncology,Melanoma,2017-07-18,85,2017-10-11,14,49,36,4.2,0.16,0.06,6,0.81,1
SITE1076,Oncology,Melanoma,2017-07-26,49,2017-09-13,8,23,30,3.33,0.17,0.01,5,0.85,0
SITE1076,Oncology,NSCLC,2021-10-08,51,2021-11-28,3,48,44,10.0,0.26,0.09,5,0.98,4
SITE1076,Neurology,Epilepsy,2023-01-23,101,2023-05-04,12,12,9,1.0,0.16,0.0,3,0.99,0
SITE1076,Oncology,Melanoma,2018-10-14,62,2018-12-15,9,14,17,0.69,0.15,0.05,0,0.91,1
SITE1076,Endocrinology,T2D,2022-08-18,64,2022-10-21,11,5,7,0.66,0.19,0.08,3,0.92,1
SITE1077,Cardiology,ACS,2021-12-28,77,2022-03-15,13,31,27,1.24,0.19,0.05,0,0.83,4
SITE1077,Neurology,Epilepsy,2018-10-29,75,2019-01-12,9,52,51,5.83,0.03,0.06,2,0.9,1
SITE1077,Neurology,Epilepsy,2022-11-27,88,2023-02-23,11,46,37,3.02,0.18,0.08,8,0.82,0
SITE1077,Oncology,CRC,2019-04-12,75,2019-06-26,7,46,53,6.45,0.18,0.04,1,0.99,1
SITE1077,Neurology,MS,2019-12-01,40,2020-01-10,6,9,8,0.61,0.12,0.05,9,0.75,4
